Time,C_1,C_2,C_3,C-4,C_5,C_6,C_7,C_8
1486944549.98848,1143,826,122,108,166,406,81,248
1486944550.009923,1078,681,79,93,163,368,58,134
1486944550.032744,1042,488,91,97,185,275,55,74
1486944550.047985,914,326,108,95,297,214,49,42
1486944550.070876,520,237,107,97,319,162,42,32
1486944550.093725,417,165,109,132,338,278,329,30
1486944550.113952,256,102,114,129,343,384,638,24
1486944550.130213,174,78,105,128,343,569,659,16
1486944550.152958,294,68,91,179,253,649,722,11
1486944550.168407,866,50,95,219,233,682,754,10
1486944550.190975,1063,38,93,217,207,662,687,10
1486944550.212692,1186,25,88,224,177,608,437,10
1486944550.227972,1321,507,87,230,164,449,414,9
1486944550.25044,1402,1012,78,192,160,337,298,8
1486944550.273431,1385,1152,73,140,157,261,208,6
1486944550.288643,1501,1439,81,113,174,221,185,6
1486944550.309996,1607,1540,91,93,194,206,142,4
1486944550.332869,1625,1529,99,76,201,194,160,4
1486944550.348231,1665,1273,104,70,209,167,162,4
1486944550.37078,1675,1150,100,70,206,166,166,4
1486944550.393534,1640,820,93,68,194,148,164,4
1486944550.410558,1580,899,86,63,171,147,155,4
1486944550.431823,1558,906,73,51,134,169,107,4
1486944550.455274,1578,1071,69,43,125,170,87,3
1486944550.470034,1387,1122,64,41,108,168,62,3
1486944550.4912,1170,1130,56,38,92,155,54,3
1486944550.513028,982,929,46,41,82,139,51,4
1486944550.527826,812,821,43,44,74,76,42,5
1486944550.5505,428,557,39,44,59,106,36,7
1486944550.573381,356,505,40,42,51,117,37,7
1486944550.588587,355,483,39,42,43,135,35,8
1486944550.610155,431,624,39,40,43,138,33,20
1486944550.632842,422,627,40,35,41,150,31,65
1486944550.648061,447,714,44,37,42,124,32,80
1486944550.670945,493,790,73,37,39,113,29,97
1486944550.693838,494,790,77,32,38,92,29,119
1486944550.707596,421,680,79,32,36,206,29,128
1486944550.737953,415,663,78,32,34,217,29,117
1486944550.761952,406,610,78,31,34,226,26,114
1486944550.775851,302,464,50,32,38,229,32,100
1486944550.798769,198,369,43,32,39,227,35,90
1486944550.812737,227,384,38,34,40,134,33,82
1486944550.835601,213,361,37,36,41,100,33,78
1486944550.87702,171,283,34,36,41,74,36,77
1486944550.882228,192,293,31,35,38,57,30,89
1486944550.896072,221,357,35,42,52,57,29,90
1486944550.917776,199,345,39,41,55,51,30,94
1486944550.933116,221,365,40,40,55,188,34,93
1486944550.955682,371,561,37,39,53,295,33,108
1486944550.978504,412,640,38,40,54,377,36,112
1486944550.993858,405,603,34,37,40,406,37,99
1486944551.015186,428,623,40,36,36,445,37,95
1486944551.038066,445,639,39,37,40,421,35,104
1486944551.053302,354,531,43,37,40,381,36,86
1486944551.075845,370,479,46,36,42,326,39,82
1486944551.098609,418,653,45,36,45,295,39,95
1486944551.112685,429,673,36,38,49,239,40,101
1486944551.135457,455,712,40,41,48,224,206,95
1486944551.158147,458,687,38,39,54,179,371,101
1486944551.181181,425,694,36,42,51,130,429,96
1486944551.196167,487,666,36,39,50,114,452,86
1486944551.217631,619,775,40,35,50,118,468,80
1486944551.24172,714,855,36,33,48,100,427,80
1486944551.255702,791,903,36,33,46,94,301,84
1486944551.278594,1001,1238,60,30,47,91,215,93
1486944551.301254,952,1461,64,34,45,89,170,111
1486944551.315249,864,1444,65,37,46,59,128,136
1486944551.33805,809,1377,66,38,47,54,193,195
1486944551.360746,799,1343,66,43,45,54,206,212
1486944551.376092,630,1007,45,81,45,51,201,232
1486944551.398817,694,497,41,82,48,53,198,226
1486944551.421578,687,267,42,85,52,52,194,212
1486944551.436484,818,183,48,86,52,57,117,163
1486944551.460001,864,110,48,84,51,75,73,147
1486944551.483183,898,190,55,51,54,73,65,178
1486944551.49632,907,526,70,70,93,158,56,213
1486944551.517779,936,922,183,102,122,202,57,241
1486944551.54196,856,1240,222,109,138,221,61,269
1486944551.555756,794,1306,235,110,143,239,63,292
1486944551.57861,734,1379,237,110,143,273,63,256
1486944551.601412,863,1404,233,97,120,252,65,229
1486944551.624077,1126,1376,161,59,89,236,62,223
1486944551.638364,1211,1295,101,40,60,217,49,207
1486944551.660919,1187,1278,68,33,46,191,45,167
1486944551.676078,1141,1236,54,32,45,139,45,170
1486944551.698045,1047,1212,54,35,45,102,40,167
1486944551.721861,731,1026,46,32,41,48,35,131
1486944551.735923,484,823,40,34,41,45,36,97
1486944551.759039,516,830,39,37,39,46,34,84
1486944551.781752,539,816,38,37,38,44,32,66
1486944551.795425,524,722,37,36,38,41,35,75
1486944551.817966,520,691,36,35,39,43,34,84
1486944551.843009,489,632,36,40,37,44,34,81
1486944551.856935,423,545,34,42,38,52,35,86
1486944551.878729,369,474,35,42,37,50,36,86
1486944551.90179,215,354,38,41,43,52,35,73
1486944551.9154,213,375,40,42,42,49,36,59
1486944551.939212,227,405,43,43,43,48,35,58
1486944551.960911,260,441,43,40,45,36,34,59
1486944551.975965,260,428,43,37,45,39,33,58
1486944551.997514,257,427,39,38,40,35,29,56
1486944552.02178,251,402,37,38,41,36,29,59
1486944552.035788,256,370,37,31,40,36,28,58
1486944552.058331,247,345,37,30,37,35,34,51
1486944552.081499,282,393,36,34,35,32,33,53
1486944552.095545,288,394,35,31,33,33,33,56
